condition,kc,mean_encounters_to_mastery_model,mean_encounters_to_mastery_true,censored_model_frac,censored_true_frac,mean_final_model_mastery,mean_final_true_skill,challenge_skill_balance,mean_frustration,mean_boredom,estimator_calibration_r
static_baseline,innate_immunity,59.31818181818182,81.31944444444444,0.01,0.64,0.9999996363925692,0.6846065071259314,0.21758333333333332,0.2014708333333346,0.24549166666666608,0.7566345149099775
static_baseline,antigen_recognition,62.02564102564103,86.16129032258064,0.025,0.69,0.996870734910082,0.6821865495535211,0.21758333333333332,0.2014708333333346,0.24549166666666608,0.7566345149099775
static_baseline,cell_mediated_immunity,84.24409448818898,91.0,0.365,0.475,0.8690503325909389,0.7611829221017861,0.21758333333333332,0.2014708333333346,0.24549166666666608,0.7566345149099775
static_baseline,humoral_immunity,83.39855072463769,88.45045045045045,0.31,0.445,0.8995943038095505,0.7923363994784326,0.21758333333333332,0.2014708333333346,0.24549166666666608,0.7566345149099775
static_baseline,tolerance_autoimmunity,99.45454545454545,81.79411764705883,0.945,0.83,0.21669740994155906,0.4010388703442805,0.21758333333333332,0.2014708333333346,0.24549166666666608,0.7566345149099775
full_adaptive,innate_immunity,93.65517241379311,91.72549019607843,0.275,0.745,0.9725399312693078,0.7481262681405582,0.3533604887983707,0.12265321236808223,0.04168903906683862,0.708852240587094
full_adaptive,antigen_recognition,93.04255319148936,90.97916666666667,0.295,0.76,0.9678913949591922,0.7387358172544302,0.3533604887983707,0.12265321236808223,0.04168903906683862,0.708852240587094
full_adaptive,cell_mediated_immunity,93.87412587412588,92.67924528301887,0.285,0.735,0.9644542519243613,0.7514846838623632,0.3533604887983707,0.12265321236808223,0.04168903906683862,0.708852240587094
full_adaptive,humoral_immunity,93.0,91.96363636363637,0.295,0.725,0.9641096234728883,0.7517180101020482,0.3533604887983707,0.12265321236808223,0.04168903906683862,0.708852240587094
full_adaptive,tolerance_autoimmunity,95.23972602739725,89.125,0.27,0.68,0.9711751976174559,0.7503732055812468,0.3533604887983707,0.12265321236808223,0.04168903906683862,0.708852240587094
ablation_random_tier,innate_immunity,95.5,93.48780487804878,0.66,0.795,0.9434056139490181,0.7098721158473935,0.2591394087808291,0.2514386916214785,0.03270290362077969,0.6777081888223833
ablation_random_tier,antigen_recognition,95.5072463768116,89.2439024390244,0.655,0.795,0.9305342760166684,0.6998505468790424,0.2591394087808291,0.2514386916214785,0.03270290362077969,0.6777081888223833
ablation_random_tier,cell_mediated_immunity,94.63888888888889,92.70588235294117,0.64,0.83,0.9418918309820085,0.6952189648911079,0.2591394087808291,0.2514386916214785,0.03270290362077969,0.6777081888223833
ablation_random_tier,humoral_immunity,93.66666666666667,100.41025641025641,0.67,0.805,0.949854736023549,0.7075082977459375,0.2591394087808291,0.2514386916214785,0.03270290362077969,0.6777081888223833
ablation_random_tier,tolerance_autoimmunity,95.45833333333333,94.8974358974359,0.64,0.805,0.938328625765056,0.6916571491404911,0.2591394087808291,0.2514386916214785,0.03270290362077969,0.6777081888223833
